Brown bread, average	207
Crumpets, toasted	205
Cream, fresh, soured	205
Corned beef, canned	205
Bran, wheat	204
Ham, gammon joint, boiled	204
Beef, stewing steak, stewed, lean and fat	203
Lamb, stewing, raw, lean and fat	203
Lamb, leg, whole, lean only, roast, medium	203
Arctic roll	202
Beef, sirloin steak, raw, lean and fat	201
Cheese, spreadable, soft white, medium fat	199
Ham, gammon rashers, grilled	199
Mackerel, fried in blended oil, weighed with bones and skin	198
Beef, topside, raw, lean and fat	198
Dressing, thousand island, reduced calorie	197
Cream, dairy, UHT, canned spray, half fat	196
Chicken, dark meat, roasted	196
Lamb, mince, raw	196
Veal, escalope, fried	196
Haddock, coated in crumbs, frozen, fried in blended oil	195
Salad cream, reduced calorie	195
Duck, roasted, meat only	195
Sweet and sour chicken, takeaway	195
Salmon, steamed	194
Cream, fresh, single	193
Tongue, lamb, raw	193
Hare, stewed, meat only	192
Meat spread	192
Whiting, in crumbs, fried in blended oil	191
Anchovies, canned in oil, drained	191
Bacon loin steaks, grilled	191
Pate, meat, reduced fat	191
Chicken satay	191
Herring, raw	190
Tuna, canned in oil, drained	190
Beef, sirloin joint, roasted, lean	188
Liver, pig, stewed	188
Hummus	187
Pigeon, roasted, meat only	187
Lamb, leg, average, lean and fat, raw	187
Kidney, lamb, fried	187
Yeast extract	186
Chips, homemade, fried in corn oil	185
Chips, homemade, fried in dripping	185
Chips, homemade, fried in blended oil	185
Pork, leg joint, raw, lean and fat, weighed with bone	185
Beef, silverside, salted, boiled, lean	184
Pork, loin chops, grilled, lean	184
Chicken, breast, casseroled, meat and skin	184
Pork, diced, casseroled, lean only	184
Meat extract	183
Beef, rump steak, lean only, fried	183
Potato fritters, battered, cooked	182
Pork, leg joint, lean only, roast, medium	182
Ice cream, dairy, flavoured	181
Herring, grilled	181
Salmon, raw	180
Vegetarian sausages, baked/grilled	178
Chicken, meat, average, roasted	177
Turkey, dark meat, roasted	177
Beef, rump steak, lean only, grilled	177
Salmon, grilled, weighed with bones and skin	176
Beef, topside, roasted medium-rare, lean	175
Beef, rump steak, lean and fat, raw	174
Cheese spread, reduced fat	173
Whiting, in crumbs, fried in blended oil, weighed with bones and skin	172
Sardines, canned in brine, drained	172
Fish paste	169
Chestnuts	168
Skate, in batter, fried in blended oil	168
Salmon, red, canned in brine, flesh only, drained	168
Pasta, fresh, cheese and vegetable stuffed, cooked	166
Trifle, fruit, retail	166
Turkey, meat, average, roasted	166
Onions, fried in corn oil	165
Onions, fried in lard	165
Apricots, ready-to-eat	165
Venison, roast	165
Creme fraiche, half fat	162
Baking powder	160
Chips, oven, frozen, baked	159
Port	159
Chicken tikka masala, retail	159
Elmlea, single	158
Mushrooms, common, fried in corn oil	157
Heart, ox, stewed	157
Pasta, plain, fresh, cooked	156
Mushrooms, common, fried in butter	156
Ice cream, non-dairy, vanilla	155
Horseradish sauce	155
Salmon, pink, canned in brine, flesh only, drained	154
Salmon, pink, canned in brine, flesh and bones, drained	154
Chicken, light meat, roasted	153
Turkey, light meat, roasted	153
Kidney, pig, stewed	153
Lamb, lean only, raw, average	153
Brawn	153
Evaporated milk, whole	150
Mousse, chocolate	150
Salmon, steamed, weighed with bones and skin	150
Prunes, ready-to-eat	149
Cream, fresh, half	147
Faggots in gravy, chilled/frozen, reheated	147
Old potatoes, roast in corn oil	146
Beef, stewing steak, raw, lean and fat	146
Chicken chow mein, takeaway	146
Mousse, fruit	145
Pickle, sweet	145
Chicken curry, average, takeaway	145
Cheese, spreadable, soft white, low fat	144
Pilchards, canned in tomato sauce	144
Skate, in batter, fried in blended oil, weighed with bones	143
Chicken, corn-fed, raw, dark meat only	143
Salmon, smoked	142
Lasagne, chilled/frozen, reheated	142
Mustard, wholegrain	141
Savoury rice, cooked	140
Soya beans, dried, boiled in unsalted water	140
Mustard, smooth	140
Beef, silverside, salted, raw, lean	140
Trifle, frozen	139
Hare, stewed, meat only, weighed with bone	139
Brown rice, boiled	138
Sherry, sweet	138
Kidney, ox, stewed	138
Ham, gammon joint, raw	138
Beef curry, chilled/frozen, reheated	138
Rabbit, raw, meat only	137
Liver, lamb, raw	137
Duck, raw, meat only	137
Trout, rainbow, grilled	135
Beef chow mein, retail, reheated	135
Chicken curry, chilled/frozen, reheated, with rice	135
Avocado, average, weighed with skin and stone	134
Yogurt, greek style, plain	133
Old potatoes, baked, flesh and skin	133
Sweetbread, lamb, raw	131
Yam, boiled in unsalted water	130
Lamb, loin chops, grilled, lean, weighed with fat and bone	130
Beef curry, chilled/frozen, reheated, with rice	130
Jam, reduced sugar	129
Grouse, roasted, meat only	129
Heart, lamb, raw	129
Beef, average, trimmed lean, raw	129
Partridge, roasted, meat only, weighed with bone	127
Fromage frais, fruit	124
Mousse, chocolate, low fat	124
Tomato soup, cream of, canned, condensed	124
Herring, grilled, weighed with bones and skin	123
Pork, trimmed lean, raw	123
Pork, diced, raw, lean	122
Aduki beans, dried, boiled in unsalted water	121
Sweetcorn, kernels, canned, re-heated, drained	121
Lollies, containing ice-cream	119
Chick peas, whole, dried, boiled in unsalted water	119
Tomato ketchup	119
Curry, prawn, takeaway	118
Lime juice cordial, undiluted	118
Sherry, medium	117
Chicken, corn-fed, raw, light meat only	117
Sherry, dry	116
Fat spread (5% fat)	116
Plantain, raw	115
Blackeye beans, dried, boiled in unsalted water	114
Dates, raw, weighed with stones	114
Lamb, best end neck cutlets, grilled, lean, weighed with fat and bone	114
Pheasant, roasted, meat only, weighed with bone	114
Rabbit, stewed, meat only	114
Spaghetti, wholemeal, boiled	113
Fromage frais, plain	113
Chick peas, canned, re-heated, drained	113
Tip Top dessert topping	112
Yam, raw	112
Yogurt, whole milk, fruit	111
Plantain, boiled in unsalted water	110
Yogurt, twinpot, thick and creamy with fruit	109
Vermouth, dry	109
Chicken, dark meat, raw	109
Spaghetti bolognese, chilled/frozen, reheated	109
Chicken, meat only, average, raw	108
Evaporated milk, light	107
Ham, canned	107
Ham	107
Chicken, light meat, raw	106
Veal, escalope, raw	106
Creme caramel, retail	105
Coley, steamed	105
Turkey, light meat, raw	105
Turkey, meat, average, raw	105
Mint sauce	104
Turkey, dark meat, raw	104
Heart, ox, raw	104
Spaghetti, white, boiled	103
Lentils, green and brown, whole, dried, boiled in salted water	103
Halibut, raw	103
Venison, raw	103
Red kidney beans, dried, boiled in unsalted water	102
Haddock, smoked, steamed	101
Cheese, cottage, plain	100
Tripe, dressed, stewed	100
Sorbet, fruit	99
Red kidney beans, canned, re-heated, drained	99
Prawns, boiled	99
Tuna, canned in brine, drained	99
Fruit drink/squash, undiluted	99
Custard, ready to eat	98
Lentils, red, split, dried, boiled in unsalted water	98
Trout, rainbow, grilled, weighed with bones and skin	98
Processed peas, canned, re-heated, drained	97
Garlic, raw	97
Bananas	97
Heart, pig, raw	97
White wine, sweet	96
Cod, frozen, grilled	95
Stuffing mix, dried, made up	95
Cottage cheese, plain, with additions	94
Sheeps milk, raw	93
